lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
,719,,,,,,,,29,0.26540082693099976,0.378175288438797,0.07834595441818237,0.04441947117447853,0.03139922767877579,0.03703954070806503,0.13913007080554962
3e-05,720,,,,,,,,,,,,,,,
,743,0.2896552085876465,0.3889373540878296,0.10872192680835724,0.0652848482131958,0.05599503219127655,0.058042917400598526,0.16110622882843018,30,,,,,,,
,743,,,,,,,,30,0.26647502183914185,0.36593762040138245,0.07842462509870529,0.043488431721925735,0.0324091874063015,0.03496485576033592,0.13694995641708374
3.1e-05,744,,,,,,,,,,,,,,,
,767,0.26821985840797424,0.38328123092651367,0.09171740710735321,0.0581544004380703,0.05406599119305611,0.054491836577653885,0.1516551375389099,31,,,,,,,
,767,,,,,,,,31,0.26257985830307007,0.361808180809021,0.07816330343484879,0.041479405015707016,0.03250199183821678,0.03533272072672844,0.13531090319156647
3.2e-05,768,,,,,,,,,,,,,,,
,791,0.3039911687374115,0.400722861289978,0.09700335562229156,0.06396660208702087,0.053971048444509506,0.05450372397899628,0.1623598039150238,32,,,,,,,
,791,,,,,,,,32,0.2623400092124939,0.35841676592826843,0.07466709613800049,0.040667079389095306,0.02893141470849514,0.03273189440369606,0.1329590529203415
3.3e-05,792,,,,,,,,,,,,,,,
,815,0.2784877419471741,0.3837306499481201,0.0933527871966362,0.056593623012304306,0.0484098419547081,0.0537799708545208,0.1523924469947815,33,,,,,,,
,815,,,,,,,,33,0.27396249771118164,0.36257076263427734,0.08416073024272919,0.04354829713702202,0.02966362237930298,0.03431600332260132,0.13803699612617493
3.4000000000000007e-05,816,,,,,,,,,,,,,,,
,839,0.2637106478214264,0.34831079840660095,0.08794370293617249,0.0628213956952095,0.04849623143672943,0.057084523141384125,0.144727885723114,34,,,,,,,
,839,,,,,,,,34,0.26830846071243286,0.34438157081604004,0.0754920020699501,0.03936333209276199,0.027772631496191025,0.03278909623622894,0.13135118782520294
3.5000000000000004e-05,840,,,,,,,,,,,,,,,
,863,0.29391297698020935,0.3803410232067108,0.09367685765028,0.06720683723688126,0.05702264606952667,0.057832829654216766,0.1583321988582611,35,,,,,,,
,863,,,,,,,,35,0.2563236951828003,0.34734004735946655,0.07492536306381226,0.03819940611720085,0.02701021544635296,0.03041268140077591,0.12903524935245514
3.6e-05,864,,,,,,,,,,,,,,,
,887,0.2695035934448242,0.3571666181087494,0.09229560196399689,0.057191263884305954,0.050475604832172394,0.05317852646112442,0.14663520455360413,36,,,,,,,
,887,,,,,,,,36,0.2684510052204132,0.34645625948905945,0.08179296553134918,0.04140656068921089,0.02878386713564396,0.0328538604080677,0.13329075276851654
3.7e-05,888,,,,,,,,,,,,,,,
,911,0.26157575845718384,0.3360452950000763,0.08138936758041382,0.0496755987405777,0.04305139556527138,0.04288777709007263,0.13577087223529816,37,,,,,,,
,911,,,,,,,,37,0.26652491092681885,0.34015458822250366,0.07356787472963333,0.037399958819150925,0.026139698922634125,0.0314173623919487,0.1292007565498352
3.8e-05,912,,,,,,,,,,,,,,,
,935,0.2666921317577362,0.35232463479042053,0.08582722395658493,0.05193920060992241,0.04501818120479584,0.05445249751210213,0.14270898699760437,38,,,,,,,
,935,,,,,,,,38,0.25661027431488037,0.33493274450302124,0.07057888060808182,0.034577902406454086,0.02245018258690834,0.02651267498731613,0.12427711486816406
3.9e-05,936,,,,,,,,,,,,,,,
,959,0.2646925747394562,0.34775280952453613,0.09473058581352234,0.059696607291698456,0.044677987694740295,0.05269012972712517,0.14404010772705078,39,,,,,,,
,959,,,,,,,,39,0.25700685381889343,0.3337015211582184,0.07839468121528625,0.041586119681596756,0.02544597163796425,0.0308691393584013,0.12783405184745789
4e-05,960,,,,,,,,,,,,,,,
,983,0.26880767941474915,0.3290022909641266,0.08529645204544067,0.04692237451672554,0.03756158426403999,0.046078477054834366,0.13561147451400757,40,,,,,,,
,983,,,,,,,,40,0.2594190239906311,0.3302364945411682,0.07323334366083145,0.04108520969748497,0.025991642847657204,0.02986578270792961,0.12663857638835907
4.1e-05,984,,,,,,,,,,,,,,,
,1007,0.2799719274044037,0.34796643257141113,0.0928771048784256,0.05814087763428688,0.04982803761959076,0.05394879728555679,0.14712220430374146,41,,,,,,,
,1007,,,,,,,,41,0.2613671123981476,0.3291527032852173,0.07926832139492035,0.04229161888360977,0.02768569439649582,0.033034298568964005,0.12879996001720428
4.2000000000000004e-05,1008,,,,,,,,,,,,,,,
,1031,0.28529122471809387,0.3463347554206848,0.09698870778083801,0.054896336048841476,0.044759251177310944,0.04867719113826752,0.14615792036056519,42,,,,,,,
,1031,,,,,,,,42,0.2596212327480316,0.32978004217147827,0.07647401094436646,0.03770041838288307,0.025689130648970604,0.027477318421006203,0.12612369656562805
4.2999999999999995e-05,1032,,,,,,,,,,,,,,,
,1055,0.2589322328567505,0.3276861310005188,0.07839199900627136,0.05135533958673477,0.04002445936203003,0.04581378772854805,0.1337006688117981,43,,,,,,,
,1055,,,,,,,,43,0.2614929974079132,0.32927247881889343,0.07364775985479355,0.03749706968665123,0.024829620495438576,0.02893369272351265,0.12594561278820038
4.4e-05,1056,,,,,,,,,,,,,,,
,1079,0.2820439040660858,0.34533244371414185,0.09443797916173935,0.05664129927754402,0.04204661771655083,0.046729493886232376,0.14453862607479095,44,,,,,,,
,1079,,,,,,,,44,0.25357916951179504,0.32310375571250916,0.06735677272081375,0.03338375315070152,0.02009020932018757,0.024216217920184135,0.12028831243515015
4.4999999999999996e-05,1080,,,,,,,,,,,,,,,
,1103,0.26673004031181335,0.3391840159893036,0.08468852192163467,0.05330870673060417,0.042458344250917435,0.04804909974336624,0.1390697956085205,45,,,,,,,
,1103,,,,,,,,45,0.2554575502872467,0.325015127658844,0.0758732259273529,0.03852006047964096,0.026138251647353172,0.028209304437041283,0.12486892193555832
4.6e-05,1104,,,,,,,,,,,,,,,
,1127,0.25872334837913513,0.32227686047554016,0.09026314318180084,0.051776669919490814,0.039605095982551575,0.04255794733762741,0.13420051336288452,46,,,,,,,
,1127,,,,,,,,46,0.2639160752296448,0.33004751801490784,0.07412420213222504,0.0343831330537796,0.020958293229341507,0.024318508803844452,0.12462462484836578
4.7000000000000004e-05,1128,,,,,,,,,,,,,,,
,1151,0.27670037746429443,0.32290127873420715,0.08839192241430283,0.05151088163256645,0.03995304927229881,0.04117967560887337,0.13677287101745605,47,,,,,,,
,1151,,,,,,,,47,0.25718823075294495,0.31849002838134766,0.07274910807609558,0.0356576032936573,0.02172277122735977,0.025820596143603325,0.1219380646944046
4.8e-05,1152,,,,,,,,,,,,,,,
,1175,0.2667717933654785,0.33564960956573486,0.08361169695854187,0.046881984919309616,0.036023274064064026,0.037959568202495575,0.1344829946756363,48,,,,,,,
,1175,,,,,,,,48,0.2568940818309784,0.32679110765457153,0.07513278722763062,0.03752024844288826,0.023094071075320244,0.02815788798034191,0.12459836155176163
4.9000000000000005e-05,1176,,,,,,,,,,,,,,,
,1199,0.27821725606918335,0.34420040249824524,0.09226953983306885,0.05777115374803543,0.04346320778131485,0.052286483347415924,0.14470133185386658,49,,,,,,,
,1199,,,,,,,,49,0.2506481409072876,0.32801878452301025,0.0717586949467659,0.03668525069952011,0.02234477736055851,0.0275526512414217,0.1228347197175026
5e-05,1200,,,,,,,,,,,,,,,
,1223,0.24878348410129547,0.33386996388435364,0.08677027374505997,0.05647263303399086,0.041240841150283813,0.04642214998602867,0.1355932354927063,50,,,,,,,
,1223,,,,,,,,50,0.2553655505180359,0.32017239928245544,0.07101970911026001,0.03521884232759476,0.02070622332394123,0.02599657140672207,0.1214132234454155
5.1e-05,1224,,,,,,,,,,,,,,,
,1247,0.25938454270362854,0.32717543840408325,0.08147548139095306,0.04763812944293022,0.03500581532716751,0.03923909366130829,0.1316530853509903,51,,,,,,,
,1247,,,,,,,,51,0.25170692801475525,0.31425178050994873,0.07044537365436554,0.03455715999007225,0.020726284012198448,0.025053057819604874,0.11945676058530807
5.2e-05,1248,,,,,,,,,,,,,,,
,1271,0.2639319896697998,0.3193053901195526,0.08141238987445831,0.0499737411737442,0.041148316115140915,0.04080504924058914,0.1327628195285797,52,,,,,,,
,1271,,,,,,,,52,0.25429123640060425,0.3197704553604126,0.07423842698335648,0.037287499755620956,0.02248414419591427,0.027398305013775826,0.12257834523916245
5.3e-05,1272,,,,,,,,,,,,,,,
,1295,0.25945666432380676,0.3422147333621979,0.08474768698215485,0.04757815971970558,0.03692232817411423,0.040012508630752563,0.1351553499698639,53,,,,,,,
,1295,,,,,,,,53,0.2535845637321472,0.3186485469341278,0.07495401054620743,0.03825508430600166,0.023277796804904938,0.030793866142630577,0.12325230985879898
5.4e-05,1296,,,,,,,,,,,,,,,
,1319,0.2612607479095459,0.33635851740837097,0.08214825391769409,0.049340661615133286,0.0373116210103035,0.04173394292593002,0.13469229638576508,54,,,,,,,
,1319,,,,,,,,54,0.24957376718521118,0.3180871903896332,0.06926411390304565,0.03329506143927574,0.018876561895012856,0.022911474108695984,0.11866804212331772
5.5e-05,1320,,,,,,,,,,,,,,,
,1343,0.273496150970459,0.33718669414520264,0.08166453242301941,0.054244231432676315,0.038301337510347366,0.047179169952869415,0.13867869973182678,55,,,,,,,
,1343,,,,,,,,55,0.2567259967327118,0.3198086619377136,0.07307273149490356,0.0357828289270401,0.019351286813616753,0.02435937523841858,0.12151681631803513
5.6e-05,1344,,,,,,,,,,,,,,,
,1367,0.258869469165802,0.3483966290950775,0.08872206509113312,0.05746309086680412,0.039108455181121826,0.04508906230330467,0.13960812985897064,56,,,,,,,
,1367,,,,,,,,56,0.2535935640335083,0.3239367604255676,0.07380270957946777,0.036238864064216614,0.02031705155968666,0.024112839251756668,0.1220003068447113
5.7e-05,1368,,,,,,,,,,,,,,,
,1391,0.2679458260536194,0.33932438492774963,0.09483751654624939,0.05257558077573776,0.040394701063632965,0.04604850336909294,0.14018777012825012,57,,,,,,,
,1391,,,,,,,,57,0.2563442289829254,0.32000046968460083,0.07700023055076599,0.0389726422727108,0.023414527997374535,0.026532283052802086,0.1237107366323471
5.800000000000001e-05,1392,,,,,,,,,,,,,,,
,1415,0.25614866614341736,0.3268011212348938,0.08865669369697571,0.04776887968182564,0.03512856736779213,0.038725823163986206,0.13220496475696564,58,,,,,,,
,1415,,,,,,,,58,0.24507968127727509,0.31003323197364807,0.07078414410352707,0.03376808762550354,0.02034890651702881,0.02484234794974327,0.11747607588768005
5.9e-05,1416,,,,,,,,,,,,,,,
,1439,0.2676101624965668,0.3252962827682495,0.09374774992465973,0.051949117332696915,0.036728065460920334,0.042505841702222824,0.13630621135234833,59,,,,,,,
,1439,,,,,,,,59,0.2493032068014145,0.3148614466190338,0.0690390020608902,0.03383064270019531,0.01807624287903309,0.022955521941184998,0.1180110052227974
6e-05,1440,,,,,,,,,,,,,,,
,1463,0.2524038255214691,0.3033386766910553,0.08436254411935806,0.0471079982817173,0.03483062982559204,0.03881214186549187,0.12680929899215698,60,,,,,,,
,1463,,,,,,,,60,0.2531783878803253,0.31423142552375793,0.07110367715358734,0.034316450357437134,0.020505990833044052,0.024274583905935287,0.1196017637848854
6.1e-05,1464,,,,,,,,,,,,,,,
,1487,0.27526867389678955,0.3323637843132019,0.09077457338571548,0.05161798745393753,0.03890490531921387,0.04446879029273987,0.1388998031616211,61,,,,,,,
,1487,,,,,,,,61,0.2440461367368698,0.31009790301322937,0.06997116655111313,0.033487021923065186,0.01872197352349758,0.02377975359559059,0.11668399721384048
6.2e-05,1488,,,,,,,,,,,,,,,
,1511,0.26089248061180115,0.34101602435112,0.08187208324670792,0.049722615629434586,0.038307514041662216,0.044344011694192886,0.1360258013010025,62,,,,,,,
,1511,,,,,,,,62,0.24946151673793793,0.3171926438808441,0.0711028203368187,0.03486388176679611,0.01952211745083332,0.02355051040649414,0.11928225308656693
6.3e-05,1512,,,,,,,,,,,,,,,
,1535,0.25233912467956543,0.31857702136039734,0.07609224319458008,0.04571209475398064,0.031243031844496727,0.03778238222002983,0.12695765495300293,63,,,,,,,
,1535,,,,,,,,63,0.25108933448791504,0.31509649753570557,0.07074262946844101,0.035279735922813416,0.0190837811678648,0.023893969133496284,0.11919766664505005
6.4e-05,1536,,,,,,,,,,,,,,,
,1559,0.23405195772647858,0.303366482257843,0.07393622398376465,0.03801793232560158,0.028840379789471626,0.03147457167506218,0.11828126013278961,64,,,,,,,
,1559,,,,,,,,64,0.24795083701610565,0.3145213723182678,0.07397527992725372,0.0381159670650959,0.019965885207057,0.025001289322972298,0.11992177367210388
6.500000000000001e-05,1560,,,,,,,,,,,,,,,
,1583,0.241675466299057,0.3164212107658386,0.0743023008108139,0.04388616979122162,0.03394195809960365,0.035917963832616806,0.12435752153396606,65,,,,,,,
,1583,,,,,,,,65,0.25088047981262207,0.3142378330230713,0.07165849208831787,0.03708377853035927,0.01896633394062519,0.0248576607555151,0.11961409449577332
6.6e-05,1584,,,,,,,,,,,,,,,
,1607,0.27339208126068115,0.3403519093990326,0.0951024740934372,0.0495070144534111,0.036175087094306946,0.04128775745630264,0.13930271565914154,66,,,,,,,
,1607,,,,,,,,66,0.24849055707454681,0.31089547276496887,0.07558773458003998,0.03639044240117073,0.02115551568567753,0.025584302842617035,0.11968400329351425
6.7e-05,1608,,,,,,,,,,,,,,,
,1631,0.25320300459861755,0.3222072124481201,0.08854834735393524,0.048319701105356216,0.03391875699162483,0.04288193956017494,0.13151317834854126,67,,,,,,,
,1631,,,,,,,,67,0.25127801299095154,0.3101997673511505,0.07586382329463959,0.037145569920539856,0.02260645292699337,0.02718346379697323,0.12071285396814346
6.800000000000001e-05,1632,,,,,,,,,,,,,,,
,1655,0.24713096022605896,0.3175753653049469,0.07964429259300232,0.04771345853805542,0.02938884124159813,0.03638286516070366,0.1263059675693512,68,,,,,,,
,1655,,,,,,,,68,0.24493776261806488,0.30735185742378235,0.0717964917421341,0.03536685183644295,0.01995524950325489,0.02672450616955757,0.11768879741430283
6.900000000000001e-05,1656,,,,,,,,,,,,,,,
,1679,0.2547987699508667,0.3196723461151123,0.08897686004638672,0.04718295857310295,0.033955663442611694,0.039890095591545105,0.13074612617492676,69,,,,,,,
,1679,,,,,,,,69,0.2416231483221054,0.30938711762428284,0.07129973918199539,0.03534546121954918,0.01896417886018753,0.02500210329890251,0.11693695932626724
7.000000000000001e-05,1680,,,,,,,,,,,,,,,
,1703,0.25723060965538025,0.3360559940338135,0.07950557768344879,0.04411408305168152,0.03276488557457924,0.0368887297809124,0.1310933232307434,70,,,,,,,
,1703,,,,,,,,70,0.2454468160867691,0.31095802783966064,0.07188612222671509,0.03525219485163689,0.019178399816155434,0.02618197351694107,0.11815059930086136
7.099999999999999e-05,1704,,,,,,,,,,,,,,,
,1727,0.2547987997531891,0.34104037284851074,0.08052883297204971,0.04485533386468887,0.031054340302944183,0.03842614218592644,0.13178397715091705,71,,,,,,,
,1727,,,,,,,,71,0.24378623068332672,0.3103844225406647,0.07180047035217285,0.03710498660802841,0.021531684324145317,0.024735253304243088,0.11822384595870972
7.2e-05,1728,,,,,,,,,,,,,,,
,1751,0.24469053745269775,0.2980285882949829,0.07939044386148453,0.04669839143753052,0.029803507030010223,0.037893421947956085,0.12275081872940063,72,,,,,,,
,1751,,,,,,,,72,0.24148622155189514,0.3056579828262329,0.06664378196001053,0.03241812810301781,0.017499890178442,0.021403688937425613,0.11418496072292328
7.3e-05,1752,,,,,,,,,,,,,,,
,1775,0.26323020458221436,0.3278523087501526,0.08998975157737732,0.05495040491223335,0.03829433023929596,0.04344962537288666,0.1362944394350052,73,,,,,,,
,1775,,,,,,,,73,0.24424594640731812,0.30470529198646545,0.07285201549530029,0.03756706044077873,0.019412022083997726,0.02507997862994671,0.11731038242578506
7.4e-05,1776,,,,,,,,,,,,,,,
,1799,0.24846836924552917,0.3246854245662689,0.072907954454422,0.045209284871816635,0.03062557987868786,0.03719315677881241,0.1265149563550949,74,,,,,,,
,1799,,,,,,,,74,0.24093738198280334,0.30067551136016846,0.06813789904117584,0.03204408288002014,0.015943098813295364,0.024975042790174484,0.1137855052947998
7.5e-05,1800,,,,,,,,,,,,,,,
,1823,0.2488192319869995,0.3064245879650116,0.07775259763002396,0.037775918841362,0.026971779763698578,0.03211010619997978,0.12164237350225449,75,,,,,,,
,1823,,,,,,,,75,0.24248385429382324,0.3041146397590637,0.07044320553541183,0.03247637674212456,0.018242061138153076,0.02304575964808464,0.1151343286037445
7.6e-05,1824,,,,,,,,,,,,,,,
,1847,0.2448771595954895,0.3228679895401001,0.08122823387384415,0.0462239645421505,0.031572505831718445,0.03173403441905975,0.12641732394695282,76,,,,,,,
,1847,,,,,,,,76,0.24803756177425385,0.31148645281791687,0.07068350166082382,0.03400377929210663,0.021201640367507935,0.025945940986275673,0.1185598149895668
7.7e-05,1848,,,,,,,,,,,,,,,
,1871,0.22951270639896393,0.31366845965385437,0.07437705248594284,0.04848203435540199,0.03392995893955231,0.03786705806851387,0.12297289073467255,77,,,,,,,
,1871,,,,,,,,77,0.24552854895591736,0.3081877827644348,0.06996427476406097,0.033545006066560745,0.021746428683400154,0.022901007905602455,0.11697883903980255
7.8e-05,1872,,,,,,,,,,,,,,,
